[epoch 71]train-acc:0.4852 train-loss:1.51  test-acc:0.1156 test-loss:3.9
[epoch 72]train-acc:0.4409 train-loss:1.62  test-acc:0.1 test-loss:8.58
[epoch 73]train-acc:0.5126 train-loss:1.43  test-acc:0.1708 test-loss:3.74
[epoch 74]train-acc:0.4902 train-loss:1.49  test-acc:0.1078 test-loss:5.08
[epoch 75]train-acc:0.4571 train-loss:1.59  test-acc:0.1263 test-loss:3.23
[epoch 76]train-acc:0.4787 train-loss:1.52  test-acc:0.1408 test-loss:3.68
[epoch 77]train-acc:0.4748 train-loss:1.53  test-acc:0.1001 test-loss:4.93
[epoch 78]train-acc:0.4525 train-loss:1.59  test-acc:0.1 test-loss:7.33
[epoch 79]train-acc:0.4348 train-loss:1.63  test-acc:0.1075 test-loss:5.77
[epoch 80]train-acc:0.4516 train-loss:1.58  test-acc:0.0999 test-loss:5.61
[epoch 81]train-acc:0.4659 train-loss:1.54  test-acc:0.1803 test-loss:5.0
[epoch 82]train-acc:0.5043 train-loss:1.44  test-acc:0.1069 test-loss:3.46
[epoch 83]train-acc:0.5012 train-loss:1.45  test-acc:0.1334 test-loss:4.78
[epoch 84]train-acc:0.5053 train-loss:1.44  test-acc:0.1089 test-loss:4.37
[epoch 85]train-acc:0.4868 train-loss:1.49  test-acc:0.1801 test-loss:3.71
[epoch 86]train-acc:0.478 train-loss:1.52  test-acc:0.131 test-loss:3.83
[epoch 87]train-acc:0.4835 train-loss:1.5  test-acc:0.1271 test-loss:4.79
[epoch 88]train-acc:0.4747 train-loss:1.52  test-acc:0.1008 test-loss:4.21
[epoch 89]train-acc:0.4887 train-loss:1.48  test-acc:0.1682 test-loss:2.95
[epoch 90]train-acc:0.4814 train-loss:1.49  test-acc:0.1489 test-loss:2.69
[epoch 91]train-acc:0.4684 train-loss:1.52  test-acc:0.1302 test-loss:4.22
[epoch 92]train-acc:0.44 train-loss:1.61  test-acc:0.1 test-loss:5.28
[epoch 93]train-acc:0.3916 train-loss:1.72  test-acc:0.1 test-loss:7.49
[epoch 94]train-acc:0.4055 train-loss:1.67  test-acc:0.1072 test-loss:5.58
[epoch 95]train-acc:0.4567 train-loss:1.55  test-acc:0.1 test-loss:6.73
[epoch 96]train-acc:0.4687 train-loss:1.51  test-acc:0.1176 test-loss:3.63
[epoch 97]train-acc:0.4397 train-loss:1.58  test-acc:0.1 test-loss:6.73
[epoch 98]train-acc:0.4443 train-loss:1.58  test-acc:0.1 test-loss:4.74
[epoch 99]train-acc:0.4356 train-loss:1.6  test-acc:0.1188 test-loss:4.09
[epoch 100]train-acc:0.434 train-loss:1.6  test-acc:0.1327 test-loss:2.73
[epoch 101]train-acc:0.4518 train-loss:1.55  test-acc:0.148 test-loss:3.37
[epoch 102]train-acc:0.4623 train-loss:1.52  test-acc:0.1006 test-loss:4.25
[epoch 103]train-acc:0.4552 train-loss:1.55  test-acc:0.1369 test-loss:3.2
[epoch 104]train-acc:0.447 train-loss:1.57  test-acc:0.1001 test-loss:5.16
[epoch 105]train-acc:0.4418 train-loss:1.57  test-acc:0.2232 test-loss:5.38
[epoch 106]train-acc:0.4451 train-loss:1.57  test-acc:0.1899 test-loss:2.35
[epoch 107]train-acc:0.4489 train-loss:1.56  test-acc:0.1 test-loss:3.62
[epoch 108]train-acc:0.4413 train-loss:1.58  test-acc:0.1691 test-loss:4.17
[epoch 109]train-acc:0.4337 train-loss:1.61  test-acc:0.1 test-loss:6.29
[epoch 110]train-acc:0.4452 train-loss:1.57  test-acc:0.1752 test-loss:3.22
[epoch 111]train-acc:0.4324 train-loss:1.6  test-acc:0.1048 test-loss:3.07
[epoch 112]train-acc:0.4479 train-loss:1.56  test-acc:0.1044 test-loss:6.38
[epoch 113]train-acc:0.4418 train-loss:1.58  test-acc:0.1385 test-loss:2.67
[epoch 114]train-acc:0.3933 train-loss:1.7  test-acc:0.1415 test-loss:3.35
[epoch 115]train-acc:0.3446 train-loss:1.81  test-acc:0.1 test-loss:4.82
[epoch 116]train-acc:0.3237 train-loss:1.83  test-acc:0.1007 test-loss:4.92
[epoch 117]train-acc:0.3105 train-loss:1.83  test-acc:0.1 test-loss:3.0
[epoch 118]train-acc:0.3271 train-loss:1.78  test-acc:0.1 test-loss:5.53
[epoch 119]train-acc:0.3326 train-loss:1.76  test-acc:0.1344 test-loss:3.88
[epoch 120]train-acc:0.3629 train-loss:1.68  test-acc:0.3076 test-loss:1.86
[epoch 121]train-acc:0.3765 train-loss:1.64  test-acc:0.2045 test-loss:2.13
[epoch 122]train-acc:0.3867 train-loss:1.63  test-acc:0.1766 test-loss:3.53
[epoch 123]train-acc:0.3932 train-loss:1.62  test-acc:0.1029 test-loss:2.7
[epoch 124]train-acc:0.3942 train-loss:1.61  test-acc:0.1187 test-loss:4.92
[epoch 125]train-acc:0.3981 train-loss:1.6  test-acc:0.1002 test-loss:4.09
[epoch 126]train-acc:0.409 train-loss:1.58  test-acc:0.1782 test-loss:2.91
[epoch 127]train-acc:0.4316 train-loss:1.53  test-acc:0.1394 test-loss:4.43
[epoch 128]train-acc:0.4502 train-loss:1.5  test-acc:0.1778 test-loss:3.03
[epoch 129]train-acc:0.4495 train-loss:1.5  test-acc:0.1313 test-loss:3.93
[epoch 130]train-acc:0.4532 train-loss:1.5  test-acc:0.1715 test-loss:2.87
[epoch 131]train-acc:0.4501 train-loss:1.51  test-acc:0.1 test-loss:4.64
[epoch 132]train-acc:0.4634 train-loss:1.47  test-acc:0.1545 test-loss:3.28
[epoch 133]train-acc:0.4704 train-loss:1.46  test-acc:0.1013 test-loss:4.65
[epoch 134]train-acc:0.4717 train-loss:1.45  test-acc:0.1761 test-loss:2.8
[epoch 135]train-acc:0.4743 train-loss:1.46  test-acc:0.1767 test-loss:3.65
[epoch 136]train-acc:0.4781 train-loss:1.44  test-acc:0.2074 test-loss:3.99
[epoch 137]train-acc:0.4845 train-loss:1.43  test-acc:0.3142 test-loss:1.91
[epoch 138]train-acc:0.4821 train-loss:1.44  test-acc:0.1579 test-loss:3.71
[epoch 139]train-acc:0.4869 train-loss:1.43  test-acc:0.2594 test-loss:2.3
[epoch 140]train-acc:0.4847 train-loss:1.43  test-acc:0.1301 test-loss:5.1
[epoch 141]train-acc:0.4868 train-loss:1.43  test-acc:0.1178 test-loss:5.32
[epoch 142]train-acc:0.4904 train-loss:1.42  test-acc:0.2078 test-loss:2.57
